ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,School_Density_Score,Public_Transport_Accessibility_Numeric,Parking_Space_Numeric,Infrastructure_Score,Growth_Multiplier,Future_Price_5Y,Investment_Score,Good_Investment
147034,Odisha,Cuttack,Locality_1,Apartment,5,1112,445.23,0.4,2001,Furnished,28,27,24,9,9,Low,Yes,Yes,Gym,North,Owner,Ready_to_Move,4,3,1.0,59.25925925925925,1.0,654.1889396336643,2,0
165940,Telangana,Hyderabad,Locality_248,Independent House,1,2858,89.56,0.03,1992,Unfurnished,8,5,33,10,2,Medium,Yes,Yes,"Playground, Gym, Clubhouse, Garden",West,Owner,Ready_to_Move,5,6,1.0,53.70370370370371,1.0,131.59302255820805,3,1
242422,Uttar Pradesh,Noida,Locality_254,Independent House,2,557,327.17,0.59,2017,Furnished,24,20,8,8,1,High,Yes,Yes,"Pool, Playground, Garden",East,Owner,Ready_to_Move,4,9,1.0,59.25925925925925,1.0,480.7200668866562,4,1
103386,Rajasthan,Jaipur,Locality_221,Apartment,1,4370,216.53,0.05,1998,Furnished,8,12,27,9,3,Medium,No,Yes,Garden,East,Broker,Under_Construction,4,6,1.0,53.70370370370371,1.0,318.1536084695041,2,0
39831,Punjab,Amritsar,Locality_67,Villa,2,2270,10.25,0.0,2018,Unfurnished,17,24,7,8,8,Low,No,No,"Playground, Clubhouse, Garden, Gym, Pool",North,Broker,Ready_to_Move,4,3,1.0,51.85185185185185,1.0,15.060612787200006,5,1
157110,Delhi,Dwarka,Locality_35,Villa,1,2728,284.43,0.1,2010,Furnished,11,11,15,7,5,High,No,Yes,"Pool, Clubhouse, Garden, Gym",South,Broker,Under_Construction,3,9,1.0,70.37037037037037,1.02,421.0258819593244,1,0
198837,Karnataka,Bangalore,Locality_444,Independent House,1,847,452.91,0.53,1993,Unfurnished,30,12,32,4,4,Low,Yes,Yes,"Garden, Playground, Clubhouse, Gym, Pool",North,Builder,Ready_to_Move,2,3,1.0,22.22222222222222,0.98,660.5585309281557,1,0
238582,Rajasthan,Jaipur,Locality_218,Villa,2,3177,229.96,0.07,2003,Semi-furnished,24,21,22,10,10,Low,No,No,"Clubhouse, Garden, Gym, Playground",South,Owner,Ready_to_Move,5,3,1.0,66.66666666666666,1.0,337.8866845409281,4,1
244791,Kerala,Trivandrum,Locality_358,Villa,1,2664,395.31,0.15,2002,Unfurnished,17,30,23,3,2,Medium,No,No,"Gym, Playground, Clubhouse, Pool",East,Owner,Under_Construction,2,6,1.0,27.77777777777777,0.98,576.550292246162,0,0
153544,West Bengal,Kolkata,Locality_416,Villa,4,4109,387.76,0.09,2005,Semi-furnished,2,9,20,1,1,High,No,Yes,Clubhouse,North,Builder,Under_Construction,1,9,1.0,33.33333333333333,1.0,569.7466550599682,1,0
169340,Gujarat,Ahmedabad,Locality_455,Apartment,5,1468,99.22,0.07,2005,Furnished,30,12,20,8,2,High,Yes,No,Playground,South,Broker,Ready_to_Move,4,9,1.0,62.96296296296296,1.0,145.78673178009606,3,1
126791,Chhattisgarh,Bilaspur,Locality_389,Villa,4,993,213.39,0.21,2006,Semi-furnished,27,8,19,6,8,High,Yes,Yes,"Garden, Gym, Clubhouse, Playground",North,Builder,Ready_to_Move,3,9,1.0,77.77777777777777,1.02,315.86932795872525,2,0
184684,Telangana,Hyderabad,Locality_265,Apartment,2,1311,483.83,0.37,2021,Semi-furnished,23,1,4,6,9,High,No,No,"Gym, Garden, Pool",West,Broker,Under_Construction,3,9,1.0,81.4814814814815,1.02,716.186592372042,3,1
132779,Bihar,Gaya,Locality_58,Independent House,2,2631,383.36,0.15,2017,Furnished,14,30,8,9,2,Low,No,Yes,Playground,East,Broker,Under_Construction,4,3,1.0,33.33333333333333,1.0,563.2816115220483,2,0
131078,Chhattisgarh,Bilaspur,Locality_153,Villa,2,2807,118.98,0.04,2007,Furnished,13,15,18,7,3,High,No,No,"Garden, Playground, Clubhouse, Pool",North,Owner,Under_Construction,3,9,1.0,62.96296296296296,1.0,174.82065457766407,3,1
63516,Bihar,Patna,Locality_15,Villa,1,1843,224.55,0.12,2006,Unfurnished,2,29,19,8,8,Low,Yes,No,Pool,West,Broker,Under_Construction,4,3,1.0,51.85185185185185,1.0,329.9376196454401,1,0
186048,Maharashtra,Mumbai,Locality_383,Villa,2,665,171.4,0.26,2018,Furnished,12,26,7,1,8,Medium,No,Yes,"Pool, Garden, Playground",North,Builder,Under_Construction,1,6,1.0,42.59259259259259,1.0,251.8428323635201,2,0
40941,Maharashtra,Mumbai,Locality_481,Independent House,4,3443,28.74,0.01,1992,Semi-furnished,9,15,33,7,1,High,No,Yes,"Playground, Gym, Clubhouse",North,Owner,Ready_to_Move,3,9,1.0,55.55555555555555,1.0,42.228488927232014,3,1
211668,Assam,Silchar,Locality_490,Apartment,4,3950,44.28,0.01,2011,Furnished,14,1,14,9,5,Medium,Yes,No,Playground,North,Broker,Under_Construction,4,6,1.0,61.11111111111111,1.0,65.06184724070403,3,1
75851,Assam,Guwahati,Locality_63,Villa,5,602,201.8,0.34,2003,Unfurnished,12,7,22,7,4,High,No,Yes,"Pool, Playground",West,Broker,Under_Construction,3,9,1.0,66.66666666666666,1.0,296.5104058982401,1,0
60409,Chhattisgarh,Bilaspur,Locality_480,Apartment,1,2945,193.53,0.07,1991,Furnished,22,27,34,7,9,Medium,No,No,Gym,South,Broker,Under_Construction,3,6,1.0,68.5185185185185,1.0,284.3590627031041,2,0
186728,Uttarakhand,Dehradun,Locality_205,Villa,2,2788,374.99,0.13,2019,Semi-furnished,16,10,6,5,7,High,Yes,No,"Garden, Clubhouse",East,Owner,Ready_to_Move,2,9,1.0,70.37037037037037,1.02,555.0768044015296,4,1
27262,Assam,Silchar,Locality_287,Apartment,2,2123,250.16,0.12,1999,Furnished,30,8,26,10,10,Medium,No,Yes,"Playground, Garden, Pool",North,Builder,Under_Construction,5,6,1.0,83.33333333333334,1.02,370.2979103151728,2,0
88751,Odisha,Bhubaneswar,Locality_100,Apartment,2,1078,406.42,0.38,2007,Furnished,4,24,18,9,10,Medium,Yes,No,"Playground, Gym, Clubhouse, Garden",West,Owner,Ready_to_Move,4,6,1.0,79.62962962962963,1.02,601.6008822765131,3,1
16186,Karnataka,Mangalore,Locality_65,Independent House,1,4463,373.4,0.08,1992,Unfurnished,1,10,33,2,5,Low,Yes,No,"Gym, Pool",West,Builder,Ready_to_Move,1,3,1.0,18.51851851851852,0.98,544.5950750669522,2,0
79678,Uttar Pradesh,Lucknow,Locality_258,Independent House,3,3865,193.73,0.05,1996,Unfurnished,19,15,29,5,6,High,Yes,No,Playground,South,Builder,Ready_to_Move,2,9,1.0,66.66666666666666,1.0,284.6529283184641,4,1
242080,Assam,Guwahati,Locality_92,Independent House,1,3867,135.12,0.03,2008,Unfurnished,6,20,17,9,6,High,No,Yes,"Clubhouse, Playground, Garden, Gym, Pool",South,Broker,Ready_to_Move,4,9,1.0,81.4814814814815,1.02,200.01060777816656,3,1
90913,Andhra Pradesh,Vijayawada,Locality_316,Independent House,2,708,412.84,0.58,1995,Unfurnished,9,27,30,9,9,Medium,Yes,No,Garden,West,Broker,Ready_to_Move,4,6,1.0,75.92592592592592,1.02,611.1040505856888,3,1
137894,Gujarat,Surat,Locality_56,Independent House,2,4479,292.78,0.07,2022,Unfurnished,6,24,3,8,10,High,Yes,No,"Garden, Pool, Clubhouse",South,Builder,Ready_to_Move,4,9,1.0,92.5925925925926,1.02,433.3859217383925,5,1
108104,Bihar,Patna,Locality_239,Independent House,2,3626,255.03,0.07,1992,Furnished,12,25,33,2,10,High,No,No,"Clubhouse, Garden, Pool, Playground",South,Builder,Under_Construction,1,9,1.0,70.37037037037037,1.02,377.5066999827251,3,1
